text,sentiment
Morrisons book second consecutive quarter of sales growth,3
IMI posts drop in first-quarter organic revenue; warns on full year,1
"Glencore to refinance its short-term debt early, shares rise",3
EasyJet attracts more passengers in June but still lags Ryanair,3
Barclays 'bad bank' chief to step down,1
Bilfinger Industrial Services win Â£100m BP contract extension,2
Bilfinger Industrial Services win Â£100m BP contract extension,3
Barclays share price subdued as bank faces fresh forex probe,1
Centrica prepared for takeover approach - chairman,2
Jim Armitage: Spare no tears as Glencore's bosses are paying such a small price,1
"Barclays, Deutsche Bank Fight to Lift Profit Just Got Harder",1
Kingfisher set to open another 200 Screwfix stores,3
Diageo sales disappoint as currency and comparatives leave bitter taste,1
Smith & Nephew recalls hip-replacement components,1
Tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers,0
Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,1
Here's my 10-point plan to make Tesco great again,2
"Schroders posts FY profit beat, replaces CEO and chairman in board shake-up",2
BP Seeks to Get Back Some Gulf Oil Spill Business Payouts,2
"Can Standard Chartered PLC, BP plc & Burberry Group plc Keep Charging?",2
"UPDATE 1-BP reports worst annual loss in at least 20 years, cuts more jobs",0
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,2
"L&G still paying price for dividend cut during crisis, chief says",1
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,3
"Whitbread eyes savings, price rises to offset wage rises",2
Britain's FTSE lifted by solid Kingfisher,4
Novo Nordisk and AstraZeneca seek tonic from key drug trials,2
Kingfisher takeover of Mr Bricolage could hit a brick wall,1
BP wins right to appeal some Gulf spill damages claims,3
Dixons Carphone profit boost on strong sales,3
UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100,2
Johnson Matthey profit lifted by metals unit sale,3
"Barclays, Credit Suisse strike record deals with SEC, NY over dark pools",0
UPDATE 1-Shire takes Q2 earnings pain for long-term gain,2
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,3
Standard Chartered considering move from UK,2
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,3
US cancels Arctic offshore lease sale after Shell drops interest,2
Shire CEO steps up drive to get Baxalta board talking,3
UPDATE 1-Oil major BP freezes pay in 2015 to cut costs,2
Brazil Vale says will appeal ruling to block assets for dam burst,2
"BHP Billiton posts big loss, slashes dividend",0
Reaching New Depths: Glencore's $5bn Loss,0
UPDATE 2-EasyJet sees better first half on lower fuel bill,4
